Id,Name,Popularity,Followers,Generes
5tBnK7LvBMgvkXuePtfywp,lowlow,53,424164,"italian hip hop,italian pop,rome indie"
1pv59RDMxb8WKREVPpLDK9,Lucariello,39,14360,rap napoletano
3yiEJ9SByXZMXTwaKdVFN4,Luche,68,481313,"italian hip hop,rap napoletano"
1vgQksyJ0IVz8y9XerEOy3,Madame,77,179152,"italian hip hop,italian pop,r&b italiano,trap italiana"
3MkkSf3u5KU52Mb2iMrqeX,MadMan,67,1065117,italian hip hop
4BFn4jmfqSNaHtPWHTcy41,MamboLosco,64,428338,trap italiana
5AZuEF0feCXMkUCwQiQlW7,Marracash,74,1321178,"italian hip hop,italian pop,italian underground hip hop,rap napoletano"
0wTVDtBrCZIWdjtH2zKsEE,Maryam,24,1627,
1El4YQA8oCXX7ynFSxRTFq,Massimo Pericolo,74,255259,"italian hip hop,trap metal italiana"
5j8VwVgzqtJ8FG4KcLGvMb,Mastafive,9,428,
0ExV0oOfC8KUEZcTSph1RQ,Mc Giaime,4,526,
4yUvIAm9mSJyLt1WLrOxAZ,Mecna,62,199576,"italian hip hop,italian indie pop,r&b italiano"
3JfVpSTxPUXM5Vp7GSo8FJ,Herman Medrano,30,5360,indie veneto
0H4qKbzvpxPEz0Vbm7ULo4,Metal Carter,37,20207,italian hip hop
63isdzBiMOaYkMiX6XddfB,Mezzosangue,52,225216,"italian hip hop,italian underground hip hop"
5pIRzr3e2c1HqnGGMqx5bH,Mike fC,2,229,canzone genovese
58NmlBgLNN4d5gMVfnZT3Q,Mistaman,37,64662,"italian hip hop,italian underground hip hop"
6Fd10Q3sQq1NsvpFTlvMsN,Mondo Marcio,56,270593,"italian hip hop,italian underground hip hop"
5dPBeuSKtu5vLz1Et8YSVv,Mostro,61,325938,"italian hip hop,italian pop"
59MLbXG0jLVwJup3KAd6m1,Mr.Rain,66,672602,italian pop
0pmgwPGqkEVI0zPABTxPVR,Mudimbi,34,31979,
1UAY1hWd5x69hPVXMXIeri,Murubutu,53,113508,"indie rock italiano,italian hip hop,italian indie pop,italian underground hip hop"
0QqmgpgI0C1DyyDk49vnxY,MV Killa,64,72898,"italian hip hop,rap napoletano"
7tmTvmqgTBcX88ZrSHByrD,Nayt,64,401103,italian hip hop
54dqxLAclwu0QSaTwCyCaF,Neffa,60,226331,"italian adult pop,italian hip hop,italian indie pop,italian underground hip hop,r&b italiano,rap napoletano"
5vVMm5Wey5su23Rn8LJ49i,Franco Negrè,0,262,
7kG6A2lZMXeaD5YkubF5Kn,Nerone,61,136841,italian hip hop
64J8DKMWjl0AxL30tawsLh,Nesli,43,156984,"italian adult pop,italian hip hop"
6jQZzWW3JlEtcRDSzFVKSP,Nitro,68,570579,italian hip hop
49UAapOfpOg1ZOU4xf2NgY,Noyz Narcos,66,572812,"italian hip hop,italian underground hip hop"
6yGn8XOk9ZS6vUFf10sP96,Ntò,49,71720,rap napoletano
0jqDncY0xhkSFxFmE1i084,O Zulu,29,2477,italian reggae
754BJcKdHZH7tj9xFq3hHO,OG Eastbull,45,87354,italian hip hop
34jjS4wM8dwpdqVcJXocwE,Papa Ricky,16,104,
0PTw5oqmTPecU3Rlkte197,Pathos,30,6366,italian underground hip hop
7q612S2UTvOrzrXByoDeJE,Francesco Paura,15,2614,italian underground hip hop
1BOlQSV8XJgH0adrCt1wUx,Piotta,45,50311,italian reggae
3kgjDFMkBBMlr7DXoBYDA0,Pretty Solero,44,21427,"italian hip hop,italian indie pop"
477AcQLJtkQNljKUPY5dQB,Primo Brown,24,4118,
6OPPTEODZ47jWy9H1rgugE,Principe,19,720,
2Nsm5iGxbJxHoGZwrsOurY,Raige,40,70620,italian hip hop
5DkmrXKeWgDS86KKEw45o6,Rancore,53,146467,"italian hip hop,italian indie pop,italian underground hip hop"
05kigUQCchmbJDmhDiYiS0,Random,62,267583,italian pop
46GRevVgY8MomKMqpk0VR5,Rayden,26,1823,italian underground hip hop
69G4yOKjxDDAWBOksLIwHW,Rido MC,8,2,
5jcX7wWbZVJ5EsfE5sNbgp,Rischio,16,675,italian underground hip hop
056KMTw6IztdQjBmFfVyO3,Rkomi,70,762476,"italian hip hop,italian indie pop,italian pop"
0L1f9i3L3fkMNENljDOsjG,Rocco Hunt,72,1028746,"italian hip hop,italian pop,pop virale italiano,rap napoletano"
4nXNT34X5GQ8yTBttXtbY6,Chadia Rodriguez,52,237661,"italian hip hop,italian pop"
5gYADZXuZoaJwrwfAPbKuH,Rosa Chemical,66,81391,italian hip hop
2aya6KuqjXEhHBqYKsTPLs,Rose Villain,56,9771,milan indie
05OYdU3diEpNYjaAHNaZTt,Roshelle,45,34757,italian pop
3hBQ4zniNdQf1cqqo6hzuW,Salmo,75,1999575,"italian hip hop,italian pop,italian underground hip hop,rap sardegna"
0rKyE5ijqX5XDXCcc882jl,Santo Trafficante,16,387,
23TFHmajVfBtlRx5MXqgoz,Sfera Ebbasta,78,4301268,"italian hip hop,italian pop,trap italiana"
1xqolkIzTFMmqgCuD48WNt,Shade,60,962669,"italian adult pop,italian pop"
2K5nCggbhSZ00YCYP5qkZS,Shiva,65,543167,"italian hip hop,trap italiana"
0q0CTttRdwiuDFmDiN7jAt,Nicola Siciliano,62,186146,"italian hip hop,rap napoletano"
0hk4xVujcyOr6USD95wcWb,Sick Luke,62,88569,"italian hip hop,trap italiana"
2Xb7JDhI4AHJljc8iMU5hN,Signor K,9,714,
5dbWQoWkHeLiOkrOxs7Nip,Skuba Libre,7,1422,
3FLTbwBci1T3X7opijNIQB,Space One,31,1328,
6sB1yUrDexscXgMFP5MMVF,Sparo Manero,8,63,
4wee115Lsk48uYo28SGE4F,Speaker Cenzou,32,3582,rap napoletano
4RQg3XS9n0arqNyqIIjIFI,Suarez,24,989,italian underground hip hop
1DUDxAVxcSAGU57oBLPeru,SupAirForce,40,5,
1AgAVqo74e2q4FVvg0xpT7,Tedua,71,1189760,"indie liguria,italian hip hop,trap italiana"
19i93sA0D7yS9dYoVNBqAA,tha Supreme,73,1340006,"italian hip hop,italian pop,trap italiana"
5UrYPh8IR8HhJCvjyqoGAc,Thema,21,117,
2av4MrhPDUQLG3py1i0h7L,Tormento,46,22568,italian underground hip hop
7lPWuLostTtlIShgm4wpf0,Sam Tsui,62,230116,"post-teen pop,viral pop"
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,86,7282342,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,tropical"
7n97gdKHt1WpbhwCSaZGN8,Alberto Urso,45,46160,"italian adult pop,italian tenor,operatic pop"
4lXqyfnO42fw7mPGF5ZXjR,Vacca,50,203686,"italian hip hop,italian underground hip hop"
26OG4ryQ7oFAbUNAvYCOgn,Vale Lambo,56,155573,"italian hip hop,rap napoletano"
4b3MWJACM6T1QwGKoFe7pp,Vegas Jones,63,807635,italian hip hop
3fe7sEsyZiMKV8T2vW3EoA,Vincenzo Da Via Anfossi,38,10365,italian underground hip hop
00CsjN69YCczmdW0bDKaCC,Willie Peyote,65,187110,"italian hip hop,italian indie pop,rap napoletano,turin indie"
7qQCXjeTfEO6JozHYoXOrC,Taiyo Hyst Yamanouchi,0,38,
4y5lvMadZv6NAv8RgcCRem,Yung Snapp,61,4850,
