Id,artist_id,album_id,album_release_date,name,disc_number,duration_ms,explicit,popularity,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1IfUEsJO6WzC9RCoIwVMIO,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Via di qua (feat. Mr. Rain),1,207333,False,52,1,0.541,0.778,1,-7.232,1,0.151,0.147,0,0.0618,0.561,90.16,4
11HJ6wiM2H1nh4Ms7NyhMn,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Una voglia assurda,1,174646,False,48,2,0.833,0.695,10,-7.4,1,0.0674,0.021,0,0.0426,0.762,109.96,4
3eMtvXXyXR21EvAqDFs4tn,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Mainstream (La scala sociale del Rap),1,206280,False,34,3,0.739,0.619,7,-6.639,1,0.321,0.0373,0,0.0844,0.622,94.88,4
0pwbULuHR9ufNE5FhOGcCQ,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Supercalifragili (feat. Annalisa),1,170133,False,50,4,0.839,0.767,11,-5.183,0,0.0408,0.0303,0,0.064,0.726,96.009,4
5yFQ8pdtYLJvR7fVeQImMi,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,"Quando piove, diluvia",1,222586,False,33,5,0.609,0.94,9,-3.729,0,0.204,0.224,0,0.322,0.833,160.017,4
736e1ZB0LaFLPZnLpFrWef,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Beretta – feat. Boomdabash,1,211386,False,40,6,0.713,0.934,8,-3.434,0,0.124,0.0822,0,0.0634,0.947,90.064,4
3GGC5cuzs9I5YKgaZkap46,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Pericoloso – feat. Chadia Rodriguez,1,220146,False,40,7,0.779,0.737,0,-5.177,1,0.0922,0.0378,0,0.0921,0.318,120.243,5
4HwSZhAc4Gvvvbjj83TJDz,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,La Mia Hit – feat. Max Pezzali,1,212640,False,52,8,0.689,0.852,8,-6.11,1,0.074,0.0623,0,0.26,0.702,100.077,4
55kpvqyXejPiAT6p0PrTg0,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Siamesi – feat. Paola Turci,1,209613,False,31,9,0.706,0.818,1,-4.337,0,0.124,0.069,0,0.0641,0.714,79.958,4
0TPdeLbbj3ZOMTIKLjQtpV,2iK8weavvfS2xJCmzNzNE5,0Tf0cHIdHoqyjk4ejUvonx,2020-01-24,Reale,1,222800,False,33,10,0.739,0.93,0,-3.64,0,0.0811,0.00487,0,0.0687,0.848,112.049,4
