Id,artist_id,album_id,album_release_date,name,disc_number,duration_ms,explicit,popularity,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0n84KQcjfidLn70aI15niR,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Wanderlust!,1,203076,False,49,1,0.793,0.716,1,-7.46,1,0.11,0.621,0,0.0826,0.561,103.995,4
0YQhL2lcgdzO0NN4gny7z9,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Il Giro Del Mondo,1,213560,False,48,2,0.831,0.492,9,-8.155,1,0.126,0.464,0,0.116,0.699,117.999,4
156i4J5agtPwB4fpXbfji4,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Disegno,1,172000,False,43,3,0.477,0.725,11,-4.146,1,0.219,0.173,0,0.107,0.446,71.256,4
6jm6xEF89GMviLo8GILp6z,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,"Testa tra le nuvole, Pt. 0",1,172975,False,43,4,0.653,0.426,3,-9.477,1,0.12,0.34,0,0.0911,0.556,139.616,4
208GsvgqNqRSaJP4ru5pVG,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,"Testa tra le nuvole, Pt. 1",1,143399,False,54,5,0.72,0.397,8,-8.259,1,0.0606,0.699,0,0.129,0.532,83.1,4
4SUA6qcBoMD0CRbVTEKTHU,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Temporale (24 marzo),1,201286,False,37,6,0.614,0.365,8,-7.523,1,0.0636,0.413,0,0.282,0.438,116.802,3
1pPRoPrekka6FhTqRp5KER,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Dove Sei?,1,257142,False,52,7,0.739,0.462,1,-7.472,0,0.114,0.429,0,0.0987,0.617,139.957,4
0LFmCt63EFdxJG0mB1XcxK,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Tempo Al Tempo,1,199139,False,41,8,0.526,0.579,0,-7.636,1,0.0653,0.481,0,0.0914,0.732,77.106,4
1jJMhPp0Rm6lAi077PXeEQ,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Cin Cin,1,180094,False,63,9,0.701,0.634,1,-4.16,1,0.0344,0.261,0,0.131,0.371,121.047,4
6E7BujCev3pJEG6z50H6rU,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Disegno - Piano E Voce,1,153163,False,32,10,0.657,0.283,11,-8.313,1,0.0957,0.562,0,0.17,0.245,150.096,4
0Nk2DGLf3zTJnDHrCQsiDW,7GacyaFUp0qkEJglERX9N7,4m56Ae5dOv24XbtQLYtXKp,2019-12-13,Wanderlust! - Piano E Voce,1,191501,False,32,11,0.789,0.309,6,-11.687,1,0.0474,0.754,0,0.139,0.536,104.07,4
1qt3eVcuxkTiXEkIuBDgZN,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Still Prestigio (feat. E Money),1,149268,False,3,1,0.586,0.73,4,-7.944,0,0.275,0.26,0,0.367,0.39,164.056,4
0nSeR5mNca3x5HKTgcOIlr,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Aspettami qui,1,154833,False,4,2,0.772,0.765,10,-5.983,0,0.239,0.555,3.04E-06,0.0719,0.775,90.023,4
2Jyw4TVnVEU6ioLewEpQLD,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Puff Daddy,1,163941,False,3,3,0.589,0.775,11,-6.125,0,0.406,0.661,0,0.579,0.713,85.432,4
03VT2TEqgvy2BKKnyFgew2,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Questa vita mi ha scelto,1,176203,False,2,4,0.706,0.745,11,-9.208,1,0.143,0.4,0,0.083,0.865,89.284,4
5WYgsGIcIps16vGvRSj6tu,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Nuvole e Bugie,1,200972,False,2,5,0.5,0.673,11,-7.769,0,0.207,0.657,0,0.196,0.565,107.416,4
4EkQibEbknqLFxlh1tHdm7,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Soldi e gioielli,1,158674,False,2,6,0.543,0.9,9,-4.838,1,0.419,0.621,0,0.407,0.714,166.158,4
36MTuEizPQhA1icssHOs5N,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Riparto dall'inizio,1,190112,False,2,7,0.452,0.802,1,-8.46,1,0.335,0.527,0,0.0945,0.73,87.336,4
0CORVBWqDvibxKpP29OOBJ,70KwF5p6fS97rw3rQxPht5,5EH0UhVXfesV6GPqfd4YYz,2019-03-15,Quando hai perso tutto,1,154764,False,2,8,0.465,0.882,1,-5.495,1,0.352,0.439,0,0.362,0.535,169.979,4
5dXsa9cAKooMHDJrtCFdj0,70KwF5p6fS97rw3rQxPht5,2IglU2dQj20HbZQ4K0Jf5O,2015-01-01,Rime Amore Poesia,1,239812,False,0,1,0.649,0.871,5,-4.749,0,0.269,0.402,0,0.36,0.521,80.018,4
6c5tfDw0OIP5dvgHBPia46,70KwF5p6fS97rw3rQxPht5,2IglU2dQj20HbZQ4K0Jf5O,2015-01-01,L'unica a salvarmi,1,190053,False,0,2,0.354,0.652,1,-7.503,0,0.293,0.0453,0.00015,0.0972,0.135,86.082,1
